# FR-IGR Residual Tracker (Multiblock)
Time, L2_rho, L2_rhou, L2_rhov, L2_E
7.200327e-01, 3.326919e+01, 6.130298e+01, 5.805554e+01, 3.066550e+02
7.300068e-01, 3.184926e+01, 5.763847e+01, 5.304635e+01, 2.880822e+02
7.400196e-01, 3.325916e+01, 5.883578e+01, 5.616877e+01, 2.977032e+02
7.500261e-01, 3.449130e+01, 6.060061e+01, 5.839635e+01, 3.092481e+02
7.600112e-01, 3.323604e+01, 5.995697e+01, 5.615249e+01, 3.003641e+02
7.700019e-01, 3.231380e+01, 5.857657e+01, 5.694252e+01, 2.928013e+02
7.800055e-01, 3.580597e+01, 6.074650e+01, 5.869876e+01, 3.177524e+02
7.900438e-01, 3.587527e+01, 6.245861e+01, 5.856726e+01, 3.218368e+02
8.000511e-01, 3.386595e+01, 5.769328e+01, 5.572407e+01, 3.000428e+02
8.100310e-01, 3.500376e+01, 6.018652e+01, 5.692174e+01, 3.120130e+02
8.200294e-01, 3.492325e+01, 5.827837e+01, 5.497425e+01, 3.063192e+02
8.300490e-01, 3.488075e+01, 5.939694e+01, 5.552481e+01, 3.106412e+02
8.400332e-01, 3.634402e+01, 6.233994e+01, 6.020470e+01, 3.247665e+02
8.500103e-01, 3.450527e+01, 5.668047e+01, 5.539097e+01, 3.038148e+02
8.600144e-01, 3.490000e+01, 5.765447e+01, 5.524163e+01, 3.072387e+02
8.700103e-01, 3.559097e+01, 5.938682e+01, 5.717600e+01, 3.175855e+02
8.800443e-01, 3.732138e+01, 6.357775e+01, 6.296848e+01, 3.364506e+02
8.900393e-01, 3.576141e+01, 5.775696e+01, 5.855875e+01, 3.161253e+02
