Time, Probe0_Pressure, Probe1_Pressure, Probe2_Pressure
9.101989e-01, 8.502802e-02, 9.595823e-02, 1.257521e-01
9.200470e-01, 8.605553e-02, 9.592847e-02, 1.232735e-01
9.302703e-01, 8.649641e-02, 9.579003e-02, 1.211163e-01
9.401112e-01, 8.615938e-02, 9.536657e-02, 1.198692e-01
9.502939e-01, 8.569913e-02, 9.450424e-02, 1.187009e-01
9.601277e-01, 8.547684e-02, 9.330102e-02, 1.176125e-01
9.703567e-01, 8.527321e-02, 9.192809e-02, 1.169620e-01
9.802375e-01, 8.500465e-02, 9.090544e-02, 1.153996e-01
9.901123e-01, 8.491015e-02, 9.035788e-02, 1.144673e-01
1.000367e+00, 8.500663e-02, 8.999523e-02, 1.149852e-01
1.010296e+00, 8.505067e-02, 8.951794e-02, 1.140168e-01
1.020216e+00, 8.509066e-02, 8.900841e-02, 1.166193e-01
1.030133e+00, 8.523603e-02, 8.875331e-02, 1.202860e-01
1.040075e+00, 8.526327e-02, 8.871489e-02, 1.242605e-01
1.050069e+00, 8.496908e-02, 8.848954e-02, 1.582276e-01
1.060096e+00, 8.454163e-02, 8.801019e-02, 2.165336e-01
1.070122e+00, 8.433046e-02, 8.745494e-02, 2.397933e-01
1.080164e+00, 8.441738e-02, 8.665767e-02, 2.325874e-01
1.090219e+00, 8.459511e-02, 8.618872e-02, 2.302488e-01
1.100260e+00, 8.477705e-02, 8.670348e-02, 2.336888e-01
1.110282e+00, 8.504026e-02, 8.698887e-02, 2.348071e-01
1.120297e+00, 8.523466e-02, 8.724106e-02, 2.332568e-01
1.130307e+00, 8.507291e-02, 8.836438e-02, 2.349048e-01
1.140302e+00, 8.468534e-02, 8.771716e-02, 2.377782e-01
1.150176e+00, 8.450174e-02, 8.816775e-02, 2.375661e-01
1.160175e+00, 8.436600e-02, 9.240938e-02, 2.347240e-01
1.170054e+00, 8.414957e-02, 9.413040e-02, 2.309970e-01
1.180053e+00, 8.438012e-02, 1.019338e-01, 2.265970e-01
1.190200e+00, 8.476449e-02, 1.312878e-01, 2.207734e-01
1.200194e+00, 8.474315e-02, 1.647176e-01, 2.131844e-01
1.210081e+00, 8.510675e-02, 1.812297e-01, 2.052207e-01
1.220219e+00, 8.495747e-02, 1.848261e-01, 1.988078e-01
1.230298e+00, 8.435495e-02, 1.873573e-01, 1.950258e-01
